City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Bethel,US,77.86,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
1,Atuona,PF,77.18,shower rain,-9.8,-139.0333,Villa Enata
19,Saint-Philippe,RE,76.59,overcast clouds,-21.3585,55.7679,Le four à pain
32,Bambous Virieux,MU,75.45,clear sky,-20.3428,57.7575,Casa Tia Villa
33,Kapaa,US,75.18,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
37,Komsomolskiy,UZ,79.52,broken clouds,40.4272,71.7189,Ikathouse
48,Mahebourg,MU,75.49,light intensity drizzle rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
64,Koulamoutou,GA,77.2,overcast clouds,-1.1303,12.4736,Motel Bouenguidi
94,Kisangani,CD,76.28,overcast clouds,0.5167,25.2,Grand Ramela Hotel
95,Avarua,CK,75.25,overcast clouds,-21.2078,-159.775,Paradise Inn
97,Souillac,MU,75.58,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
99,Faanui,PF,79.63,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
103,Brasileia,BR,77.45,clear sky,-11.0161,-68.7481,Pousada Tobias
122,Isangel,VU,77.94,clear sky,-19.55,169.2667,Tanna Lodge
123,Palu,ID,76.24,clear sky,-0.8917,119.8707,Hotel Santika Palu
129,Kantang,TH,79.77,overcast clouds,7.4054,99.5156,Reng Ta Chai Boutique HomeStay
131,Ponta Do Sol,PT,75.0,shower rain,32.6667,-17.1,Hotel do Campo
144,Omboue,GA,79.27,overcast clouds,-1.5746,9.2618,Hotel Olako
155,Bubaque,GW,78.85,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
163,Sibolga,ID,77.74,clear sky,1.7427,98.7792,Hotel Syariah CN Darussalam
165,Rock Sound,BS,79.65,overcast clouds,24.9,-76.2,Pink Corral Bay Property
184,Puerto Carreno,CO,75.18,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
187,Grand Gaube,MU,75.6,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
188,Tigzirt,DZ,79.32,light intensity drizzle rain,36.8886,4.1198,Bloc D tazoumbirt (amar)
194,Dawei,MM,77.68,overcast clouds,14.0833,98.2,Hotel Dawei
202,Mindelo,CV,78.35,clear sky,16.8901,-24.9804,Hotel Gaudi
208,Moerai,PF,76.95,light intensity drizzle rain,-22.4333,-151.3333,Le Manotel
209,Caravelas,BR,77.9,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
214,Bengkulu,ID,78.13,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
220,Hirara,JP,76.14,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
222,Tautira,PF,79.05,clear sky,-17.7333,-149.15,Pension Oaoa
226,Ixtapa,MX,79.23,few clouds,20.7,-105.2,hotel la terminal
