City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country,Date
0,Bethel,41.3712,-73.414,77.86,74,20,6.91,clear sky,US,5/21/2022 14:50
1,Atuona,-9.8,-139.0333,77.18,76,24,9.4,shower rain,PF,5/21/2022 14:50
2,The Valley,18.217,-63.0578,85.1,74,20,13.8,clear sky,AI,5/21/2022 14:50
3,Liverpool,53.4106,-2.9779,66.38,63,75,10.36,clear sky,GB,5/21/2022 14:50
4,New Norfolk,-42.7826,147.0587,42.3,86,4,2.53,overcast clouds,AU,5/21/2022 14:50
5,Busselton,-33.65,115.3333,61.12,70,5,9.73,overcast clouds,AU,5/21/2022 14:50
6,Pangnirtung,66.1451,-65.7125,28.4,93,75,10.36,few clouds,CA,5/21/2022 14:50
7,Albany,42.6001,-73.9662,81.73,80,76,3.36,broken clouds,US,5/21/2022 14:50
8,Vila,42.0304,-8.1588,66.7,68,100,5.91,light intensity drizzle rain,PT,5/21/2022 14:50
9,Castro,-24.7911,-50.0119,61.61,43,2,3.47,overcast clouds,BR,5/21/2022 14:50
10,Guymon,36.6828,-101.4816,50,57,100,18.41,clear sky,US,5/21/2022 14:50
11,Opuwo,-18.0607,13.84,77.74,8,0,4.72,shower rain,NA,5/21/2022 14:51
12,San Policarpo,12.1791,125.5072,81.07,84,59,8.97,clear sky,PH,5/21/2022 14:51
13,Porto Santo,33.072,-16.3415,71.98,60,20,12.66,clear sky,PT,5/21/2022 14:49
14,Rikitea,-23.1203,-134.9692,74.57,74,13,5.7,overcast clouds,PF,5/21/2022 14:51
15,Nagato,34.3833,131.2,61.2,81,1,4.5,overcast clouds,JP,5/21/2022 14:48
16,Aykhal,66,111.5,40.84,76,100,6.58,few clouds,RU,5/21/2022 14:51
17,Ribeira Grande,38.5167,-28.7,64.8,100,100,5.75,broken clouds,PT,5/21/2022 14:51
18,Hilo,19.7297,-155.09,80.28,84,100,3.44,light intensity drizzle rain,US,5/21/2022 14:51
19,Saint-Philippe,-21.3585,55.7679,76.59,84,43,12.8,overcast clouds,RE,5/21/2022 14:51
20,Kavaratti,10.5669,72.642,83.14,79,100,17.54,clear sky,IN,5/21/2022 14:51
21,Antalaha,-14.9003,50.2788,73.6,91,68,8.25,shower rain,MG,5/21/2022 14:51
22,Punta Arenas,-53.15,-70.9167,35.71,87,0,4.61,clear sky,CL,5/21/2022 14:50
23,East London,-33.0153,27.9116,63.54,82,0,8.05,clear sky,ZA,5/21/2022 14:47
24,Victoria,22.2855,114.1577,81.18,81,90,11.99,overcast clouds,HK,5/21/2022 14:48
25,Airai,-8.9266,125.4092,58.41,88,24,3.6,overcast clouds,TL,5/21/2022 14:50
26,Wajima,37.4,136.9,62.37,74,94,8.68,few clouds,JP,5/21/2022 14:51
27,Ketchikan,55.3422,-131.6461,46.87,76,0,6.91,broken clouds,US,5/21/2022 14:51
28,Carnarvon,-24.8667,113.6333,71.89,61,33,3.15,light intensity drizzle rain,AU,5/21/2022 14:51
29,Puerto Varas,-41.3195,-72.9854,52.02,100,100,16.11,overcast clouds,CL,5/21/2022 14:51
30,Rawson,-43.3002,-65.1023,56.66,44,89,12.01,clear sky,AR,5/21/2022 14:51
31,Touros,-5.1989,-35.4608,86.14,61,37,12.68,shower rain,BR,5/21/2022 14:51
32,Bambous Virieux,-20.3428,57.7575,75.45,78,40,11.5,clear sky,MU,5/21/2022 14:51
33,Kapaa,22.0752,-159.319,75.18,99,100,5.75,clear sky,US,5/21/2022 14:50
34,Cidreira,-30.1811,-50.2056,61.66,58,0,6.49,overcast clouds,BR,5/21/2022 14:51
35,Puerto Ayora,-0.7393,-90.3518,73.54,91,76,5.99,overcast clouds,EC,5/21/2022 14:51
36,Santiago De Chuco,-8.15,-78.1833,59.45,57,64,1.57,few clouds,PE,5/21/2022 14:51
37,Komsomolskiy,40.4272,71.7189,79.52,29,100,16.11,broken clouds,UZ,5/21/2022 14:51
38,Corn Island,12.1694,-83.0418,81.41,77,97,4.94,light intensity drizzle rain,NI,5/21/2022 14:51
39,Lagoa,39.05,-27.9833,63.7,93,79,2.75,overcast clouds,PT,5/21/2022 14:51
40,Chicama,-7.8447,-79.1469,61.34,73,43,7.23,clear sky,PE,5/21/2022 14:51
41,Alakurtti,66.9672,30.3491,50.29,58,100,8.59,shower rain,RU,5/21/2022 14:51
42,Torbay,47.6666,-52.7314,59.77,36,20,8.05,clear sky,CA,5/21/2022 14:51
43,Mataura,-46.1927,168.8643,43.72,97,100,7.96,clear sky,NZ,5/21/2022 14:51
44,Barrow,71.2906,-156.7887,23.02,93,100,9.22,overcast clouds,US,5/21/2022 14:50
45,Lompoc,34.6391,-120.4579,62.01,93,0,4.61,overcast clouds,US,5/21/2022 14:51
46,Tual,-5.6667,132.75,83.26,75,73,14.23,few clouds,ID,5/21/2022 14:51
47,Chokurdakh,70.6333,147.9167,32.95,98,100,3.91,broken clouds,RU,5/21/2022 14:51
48,Mahebourg,-20.4081,57.7,75.49,78,40,11.5,light intensity drizzle rain,MU,5/21/2022 14:48
49,Bage,-31.3314,-54.1069,58.78,72,0,6.91,overcast clouds,BR,5/21/2022 14:51
50,Omaruru,-21.4333,15.9333,70.72,8,0,3.98,clear sky,NA,5/21/2022 14:51
51,Vaini,-21.2,-175.2,71.76,94,75,3.44,shower rain,TO,5/21/2022 14:51
52,Tahe,52.3333,124.7333,44.73,62,41,2.91,clear sky,CN,5/21/2022 14:51
53,Bredasdorp,-34.5322,20.0403,61.95,60,80,10.4,clear sky,ZA,5/21/2022 14:48
54,Cape Town,-33.9258,18.4232,66.11,63,20,10.36,overcast clouds,ZA,5/21/2022 14:51
55,Trzebiatow,54.0615,15.2648,60.85,81,64,19.17,overcast clouds,PL,5/21/2022 14:51
56,Hobart,-42.8794,147.3294,42.66,92,100,3.44,few clouds,AU,5/21/2022 14:50
57,Tokmak,47.2514,35.7058,71.08,49,100,21.54,broken clouds,UA,5/21/2022 14:51
58,Pisco,-13.7,-76.2167,66.25,72,90,3.44,light intensity drizzle rain,PE,5/21/2022 14:51
59,Cayenne,4.9333,-52.3333,84.09,1,75,3.44,overcast clouds,GF,5/21/2022 14:49
60,Jamestown,42.097,-79.2353,81.01,72,75,11.5,clear sky,US,5/21/2022 14:51
61,Dikson,73.5069,80.5464,29.64,90,100,10.31,shower rain,RU,5/21/2022 14:51
